Intent Tag,User Query (Pattern),Bot Response
admission_process,How to apply for B.Tech?,"Verify Eligibility Criteria:

Educational Qualifications: Completed 10+2 with Physics, Mathematics, and one optional subject (Chemistry, Computer Science, Biotechnology, Biology) with a minimum of 50%.

Entrance Exam: JEE Main score required.

Registration and Application:

Counselling Registration: Register online on the official counselling portal.

Application Form: Fill out the application form with personal, academic, and contact details.

Application Fee: Pay the application fee (approximately ₹2,000).

Choice Filling:

Select your preferred B.Tech branches and campuses.

Lock your choices before the deadline.

Seat Allotment:

Seats are allotted based on JEE Main rank and filled choices.

Check the seat allotment results on the portal.

Confirm seat acceptance if allotted.

Reporting and Document Verification:

Report to the allotted institute within the specified time.

Provide documents for verification (JEE Main Scorecard, 10th/12th Mark Sheets, Category Certificate, etc.).

Final Admission:

Pay the required admission fee.

Receive a provisional admission letter.

Complete the necessary orientation and attend classes.

Important Notes:

Stay updated with the counselling schedule by checking the official website regularly.

Failure to report on time may result in seat forfeiture."
admission_process,How to apply for M.tech?,"Verify Eligibility Criteria:

Educational Qualifications: A Bachelor's degree in a relevant field with at least 50% marks (45% for reserved categories).

Entrance Exam: Admission is based on GATE or CET scores.

Registration and Application:

Counselling Registration: Register online on the official admission portal.

Application Form: Complete the form with personal, academic, and contact details.

Application Fee: Pay ₹2,000 per course.

Choice Filling:

Select your preferred M.Tech specializations and campuses.

Lock your choices before the deadline.

Seat Allotment:

Seats are allotted based on entrance exam scores and filled choices.

Check the seat allotment results on the admission portal.

Confirm your seat acceptance if allotted.

Reporting and Document Verification:

Visit the allotted institute within the specified time frame.

Provide documents for verification (GATE/CET scorecard, Bachelor's degree mark sheet, Category Certificate, etc.).

Final Admission:

Pay the required admission fee.

Receive a provisional admission letter.

Attend orientation and classes as per the schedule.

Important Notes:

Stay updated with the counselling schedule and deadlines by regularly checking the official website.

Failure to report within the stipulated time may result in the forfeiture of the allotted seat.
"
admission_process,How to apply for BCA?,"Verify Eligibility Criteria:

Educational Qualifications: Completed 10+2 with a minimum of 50% marks (45% for reserved categories) and Mathematics as one of the subjects.

Entrance Exam: PTU conducts an entrance exam (if applicable) or admissions are based on merit.

Registration and Application:

Counselling Registration: Register online on the official PTU admission portal.

Application Form: Fill out the application form with personal, academic, and contact details.

Application Fee: Pay the application fee (approximately ₹1,500).

Choice Filling:

Select your preferred BCA courses and campuses.

Lock your choices before the deadline.

Seat Allotment:

Seats are allotted based on merit and filled choices.

Check the seat allotment results on the portal.

Confirm seat acceptance if allotted.

Reporting and Document Verification:

Report to the allotted institute within the specified time.

Provide documents for verification (10+2 Mark Sheet, Category Certificate, etc.).

Final Admission:

Pay the required admission fee.

Receive a provisional admission letter.

Complete necessary orientation and attend classes.

Important Notes:

Stay updated with the counselling schedule and deadlines by regularly checking the official website.

Failure to report on time may result in seat forfeiture."
admission_process,How to apply for MCA?,"Verify Eligibility Criteria: Educational Qualifications: Completed a Bachelor's degree with a minimum of 50% marks (45% for reserved categories). Must have studied Mathematics at the 10+2 level or in graduation. Entrance Exam: Admission is based on PTU entrance exam score or valid NIMCET score.

Registration and Application: Counselling Registration: Register online on the PTU admission portal. Application Form: Fill out the application form with personal, academic, and contact details. Application Fee: Pay the application fee (approximately ₹1,500).

Choice Filling: Select preferred MCA specializations and campuses. Lock choices before the deadline.

Seat Allotment: Seats allotted based on entrance exam scores or NIMCET rank and filled choices. Check seat allotment results on the portal. Confirm seat acceptance if allotted.

Reporting and Document Verification: Report to the allotted institute within the specified time. Provide documents for verification (Entrance Exam Scorecard, Bachelor's Degree Mark Sheet, Category Certificate, etc.).

Final Admission: Pay the required admission fee. Receive a provisional admission letter. Attend orientation and begin classes as per the schedule.

Important Notes: Stay updated with the counselling schedule and deadlines by regularly checking the official website. Failure to report within the stipulated time may result in forfeiture of the allotted seat."
admission_process,How to apply for BBA?,"Here is the BBA admission process for PTU

Verify Eligibility Criteria: Educational Qualifications: Completed 10+2 with a minimum of 50% marks (45% for reserved categories). No specific subject requirements, though Commerce or related subjects are preferred.

Registration and Application: Counselling Registration: Register online on the PTU admission portal. Application Form: Fill out the application form with personal, academic, and contact details. Application Fee: Pay the application fee (approximately ₹1,500).

Choice Filling: Select preferred BBA specializations and campuses. Lock choices before the deadline.

Seat Allotment: Seats allotted based on merit and filled choices. Check seat allotment results on the portal. Confirm seat acceptance if allotted.

Reporting and Document Verification: Report to the allotted institute within the specified time. Provide documents for verification (10+2 Mark Sheet, Category Certificate, etc.).

Final Admission: Pay the required admission fee. Receive a provisional admission letter. Attend orientation and begin classes as per the schedule.

Important Notes: Stay updated with the counselling schedule and deadlines by regularly checking the official website. Failure to report within the stipulated time may result in forfeiture of the allotted seat."
admission_process,How to apply for MBA?,"Here is the MBA admission process for PTU,

Verify Eligibility Criteria: Educational Qualifications: Completed a Bachelor's degree with a minimum of 50% marks (45% for reserved categories). Some programs may require a valid CAT/MAT/CMAT score.

Registration and Application: Counselling Registration: Register online on the PTU admission portal. Application Form: Fill out the application form with personal, academic, and contact details. Application Fee: Pay the application fee (approximately ₹1,500).

Choice Filling: Select preferred MBA specializations and campuses. Lock choices before the deadline.

Seat Allotment: Seats allotted based on entrance exam scores (CAT/MAT/CMAT) and filled choices. Check seat allotment results on the portal. Confirm seat acceptance if allotted.

Reporting and Document Verification: Report to the allotted institute within the specified time. Provide documents for verification (Entrance Exam Scorecard, Bachelor's Degree Mark Sheet, Category Certificate, etc.).

Final Admission: Pay the required admission fee. Receive a provisional admission letter. Attend orientation and begin classes as per the schedule.

Important Notes: Stay updated with the counselling schedule and deadlines by regularly checking the official website. Failure to report within the stipulated time may result in forfeiture of the allotted seat."
admission_process,How to apply for BSc?,"Here is the B.Sc admission process for PTU,

Verify Eligibility Criteria:
Educational Qualifications: Completed 10+2 with a minimum of 50% marks (45% for reserved categories) with relevant science subjects (e.g., Physics, Chemistry, Biology, Mathematics).

Registration and Application:
Counselling Registration: Register online on the PTU admission portal.
Application Form: Fill out the application form with personal, academic, and contact details.
Application Fee: Pay the application fee (approximately ₹1,500).

Choice Filling:
Select preferred B.Sc specializations and campuses.
Lock choices before the deadline.

Seat Allotment:
Seats are allotted based on merit and filled choices.
Check seat allotment results on the portal.
Confirm seat acceptance if allotted.

Reporting and Document Verification:
Report to the allotted institute within the specified time.
Provide documents for verification (10+2 Mark Sheet, Category Certificate, etc.).

Final Admission:
Pay the required admission fee.
Receive a provisional admission letter.
Attend orientation and begin classes as per the schedule.

Important Notes:
Stay updated with the counselling schedule and deadlines by regularly checking the official website.
Failure to report within the stipulated time may result in forfeiture of the allotted seat."
admission_process,How to apply for MSc?,"Here is the M.Sc admission process for PTU,

Verify Eligibility Criteria:
Educational Qualifications: Completed a Bachelor's degree in the relevant discipline with a minimum of 50% marks (45% for reserved categories).

Registration and Application:
Counselling Registration: Register online on the PTU admission portal.
Application Form: Fill out the application form with personal, academic, and contact details.
Application Fee: Pay the application fee (approximately ₹1,500).

Choice Filling:
Select preferred M.Sc specializations and campuses.
Lock choices before the deadline.

Seat Allotment:
Seats are allotted based on merit and filled choices.
Check seat allotment results on the portal.
Confirm seat acceptance if allotted.

Reporting and Document Verification:
Report to the allotted institute within the specified time.
Provide documents for verification (Bachelor's Degree Mark Sheet, Category Certificate, etc.).

Final Admission:
Pay the required admission fee.
Receive a provisional admission letter.
Attend orientation and begin classes as per the schedule.

Important Notes:
Stay updated with the counselling schedule and deadlines by regularly checking the official website.
Failure to report within the stipulated time may result in forfeiture of the allotted seat."
admission_process,How to apply for Food Tech?,"Here is the Food Technology admission process,

Verify Eligibility Criteria:
Educational Qualifications: Completed 10+2 with a minimum of 50% marks (45% for reserved categories) in Science stream (Physics, Chemistry, Mathematics/Biology).

Registration and Application:
Counselling Registration: Register online on the PTU admission portal.
Application Form: Fill out the application form with personal, academic, and contact details.
Application Fee: Pay the application fee (approximately ₹1,500).

Choice Filling:
Select preferred Food Technology specializations and campuses.
Lock choices before the deadline.

Seat Allotment:
Seats are allotted based on merit and filled choices.
Check seat allotment results on the portal.
Confirm seat acceptance if allotted.

Reporting and Document Verification:
Report to the allotted institute within the specified time.
Provide documents for verification (10+2 Mark Sheet, Category Certificate, etc.).

Final Admission:
Pay the required admission fee.
Receive a provisional admission letter.
Attend orientation and begin classes as per the schedule.

Important Notes:
Stay updated with the counselling schedule and deadlines by regularly checking the official website.
Failure to report within the stipulated time may result in forfeiture of the allotted seat."
admission_process,How to apply for Hotel Management ?,"Here is the Hotel Management admission process for PTU ,

Verify Eligibility Criteria:
Educational Qualifications: Completed 10+2 with a minimum of 50% marks (45% for reserved categories). No specific subject requirements, though Commerce or related subjects are preferred.

Registration and Application:
Counselling Registration: Register online on the PTU admission portal.
Application Form: Fill out the application form with personal, academic, and contact details.
Application Fee: Pay the application fee (approximately ₹1,500).

Choice Filling:
Select preferred Hotel Management specializations and campuses.
Lock choices before the deadline.

Seat Allotment:
Seats allotted based on merit and filled choices.
Check seat allotment results on the portal.
Confirm seat acceptance if allotted.

Reporting and Document Verification:
Report to the allotted institute within the specified time.
Provide documents for verification (10+2 Mark Sheet, Category Certificate, etc.).

Final Admission:
Pay the required admission fee.
Receive a provisional admission letter.
Attend orientation and begin classes as per the schedule.

Important Notes:
Stay updated with the counselling schedule and deadlines by regularly checking the official website.
Failure to report within the stipulated time may result in forfeiture of the allotted seat."
